date	city_id	city_name	is_weekend	is_holiday	holiday_type	month	day_of_week	temp_mean	wind_speed	snow_flag	dewpoint_temperature
2021-01-01	3001	Synthetic-3-1	0	0	none	1	4	15.0	2.061	0	8.0
2021-01-01	3002	Synthetic-3-2	0	0	none	1	4	16.0	2.149	0	8.5
2021-01-01	3003	Synthetic-3-3	0	0	none	1	4	17.0	2.316	0	9.0
2021-01-01	3004	Synthetic-3-4	0	0	none	1	4	18.0	2.623	0	9.5
2021-01-02	3001	Synthetic-3-1	1	0	none	1	5	15.172	2.034	0	8.12
2021-01-02	3002	Synthetic-3-2	1	0	none	1	5	16.172	2.311	0	8.62
2021-01-02	3003	Synthetic-3-3	1	0	none	1	5	17.172	2.5	0	9.12
2021-01-02	3004	Synthetic-3-4	1	0	none	1	5	18.172	2.538	0	9.62
2021-01-03	3001	Synthetic-3-1	1	0	none	1	6	15.344	1.849	0	8.241
2021-01-03	3002	Synthetic-3-2	1	0	none	1	6	16.344	2.167	0	8.741
2021-01-03	3003	Synthetic-3-3	1	0	none	1	6	17.344	2.354	0	9.241
2021-01-03	3004	Synthetic-3-4	1	0	none	1	6	18.344	2.493	0	9.741
2021-01-04	3001	Synthetic-3-1	0	0	none	1	0	15.516	1.978	0	8.361
2021-01-04	3002	Synthetic-3-2	0	0	none	1	0	16.516	2.336	0	8.861
2021-01-04	3003	Synthetic-3-3	0	0	none	1	0	17.516	2.218	0	9.361
2021-01-04	3004	Synthetic-3-4	0	0	none	1	0	18.516	2.675	0	9.861
2021-01-05	3001	Synthetic-3-1	0	0	none	1	1	15.688	1.834	0	8.481
2021-01-05	3002	Synthetic-3-2	0	0	none	1	1	16.688	2.019	0	8.981
2021-01-05	3003	Synthetic-3-3	0	0	none	1	1	17.688	2.38	0	9.481
2021-01-05	3004	Synthetic-3-4	0	0	none	1	1	18.688	2.53	0	9.981
2021-01-06	3001	Synthetic-3-1	0	0	none	1	2	15.859	1.98	0	8.601
2021-01-06	3002	Synthetic-3-2	0	0	none	1	2	16.859	2.03	0	9.101
2021-01-06	3003	Synthetic-3-3	0	0	none	1	2	17.859	2.274	0	9.601
2021-01-06	3004	Synthetic-3-4	0	0	none	1	2	18.859	2.707	0	10.101
2021-01-07	3001	Synthetic-3-1	0	0	none	1	3	16.03	2.115	0	8.721
2021-01-07	3002	Synthetic-3-2	0	0	none	1	3	17.03	2.099	0	9.221
2021-01-07	3003	Synthetic-3-3	0	0	none	1	3	18.03	2.547	0	9.721
2021-01-07	3004	Synthetic-3-4	0	0	none	1	3	19.03	2.696	0	10.221
2021-01-08	3001	Synthetic-3-1	0	0	none	1	4	16.201	1.822	0	8.841
2021-01-08	3002	Synthetic-3-2	0	0	none	1	4	17.201	2.299	0	9.341
2021-01-08	3003	Synthetic-3-3	0	0	none	1	4	18.201	2.49	0	9.841
2021-01-08	3004	Synthetic-3-4	0	0	none	1	4	19.201	2.73	0	10.341
2021-01-09	3001	Synthetic-3-1	1	0	none	1	5	16.372	2.061	0	8.96
2021-01-09	3002	Synthetic-3-2	1	0	none	1	5	17.372	2.217	0	9.46
2021-01-09	3003	Synthetic-3-3	1	0	none	1	5	18.372	2.258	0	9.96
2021-01-09	3004	Synthetic-3-4	1	0	none	1	5	19.372	2.622	0	10.46
2021-01-10	3001	Synthetic-3-1	1	0	none	1	6	16.542	2.198	0	9.079
2021-01-10	3002	Synthetic-3-2	1	0	none	1	6	17.542	2.136	0	9.579
2021-01-10	3003	Synthetic-3-3	1	0	none	1	6	18.542	2.542	0	10.079
2021-01-10	3004	Synthetic-3-4	1	0	none	1	6	19.542	2.432	0	10.579
2021-01-11	3001	Synthetic-3-1	0	0	none	1	0	16.712	1.857	0	9.198
2021-01-11	3002	Synthetic-3-2	0	0	none	1	0	17.712	2.382	0	9.698
2021-01-11	3003	Synthetic-3-3	0	0	none	1	0	18.712	2.223	0	10.198
2021-01-11	3004	Synthetic-3-4	0	0	none	1	0	19.712	2.512	0	10.698
2021-01-12	3001	Synthetic-3-1	0	0	none	1	1	16.881	2.193	0	9.317
2021-01-12	3002	Synthetic-3-2	0	0	none	1	1	17.881	2.385	0	9.817
2021-01-12	3003	Synthetic-3-3	0	0	none	1	1	18.881	2.505	0	10.317
2021-01-12	3004	Synthetic-3-4	0	0	none	1	1	19.881	2.636	0	10.817
2021-01-13	3001	Synthetic-3-1	0	0	none	1	2	17.05	1.818	0	9.435
2021-01-13	3002	Synthetic-3-2	0	0	none	1	2	18.05	2.002	0	9.935
2021-01-13	3003	Synthetic-3-3	0	0	none	1	2	19.05	2.335	0	10.435
2021-01-13	3004	Synthetic-3-4	0	0	none	1	2	20.05	2.527	0	10.935
2021-01-14	3001	Synthetic-3-1	0	0	none	1	3	17.218	1.835	0	9.552
2021-01-14	3002	Synthetic-3-2	0	0	none	1	3	18.218	2.233	0	10.052
2021-01-14	3003	Synthetic-3-3	0	0	none	1	3	19.218	2.537	0	10.552
2021-01-14	3004	Synthetic-3-4	0	0	none	1	3	20.218	2.672	0	11.052
2021-01-15	3001	Synthetic-3-1	0	0	none	1	4	17.385	1.969	0	9.67
2021-01-15	3002	Synthetic-3-2	0	0	none	1	4	18.385	2.108	0	10.17
2021-01-15	3003	Synthetic-3-3	0	0	none	1	4	19.385	2.554	0	10.67
2021-01-15	3004	Synthetic-3-4	0	0	none	1	4	20.385	2.771	0	11.17
2021-01-16	3001	Synthetic-3-1	1	0	none	1	5	17.552	1.942	0	9.786
2021-01-16	3002	Synthetic-3-2	1	0	none	1	5	18.552	2.065	0	10.286
2021-01-16	3003	Synthetic-3-3	1	0	none	1	5	19.552	2.505	0	10.786
2021-01-16	3004	Synthetic-3-4	1	0	none	1	5	20.552	2.608	0	11.286
2021-01-17	3001	Synthetic-3-1	1	0	none	1	6	17.718	1.857	0	9.902
2021-01-17	3002	Synthetic-3-2	1	0	none	1	6	18.718	2.37	0	10.402
2021-01-17	3003	Synthetic-3-3	1	0	none	1	6	19.718	2.576	0	10.902
2021-01-17	3004	Synthetic-3-4	1	0	none	1	6	20.718	2.532	0	11.402
2021-01-18	3001	Synthetic-3-1	0	0	none	1	0	17.883	1.914	0	10.018
2021-01-18	3002	Synthetic-3-2	0	0	none	1	0	18.883	2.358	0	10.518
