date	origin_id	origin_city	destination_id	destination_city	temp_diff	wind_max	snow_any
2021-01-01	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-02	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-03	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-04	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-05	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-06	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-07	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-08	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-09	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-10	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-11	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-12	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-13	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-14	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-15	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-16	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-17	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-18	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-19	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-20	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-21	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
2021-01-22	3001	Synthetic-3-1	3002	Synthetic-3-2	-1.0	2.7	0
